date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:30:19	5725/5725	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Jan%202013%2021:30:17%20GMT	http://conf.agile-france.org/2007_programme	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/2007_programme.49.delayed	(from http://conf.agile-france.org/)
22:30:25	1105538/1105538	---M--	200	added ('OK')	image/jpeg	etag:%22129ed57-10de82-45e46bc1420c0%22	http://conf.agile-france.org/images/xpdayfr08_17.jpg	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/images/xpdayfr08_17.jpg	(from http://conf.agile-france.org/)
22:30:39	736072/736072	---M--	200	added ('OK')	image/jpeg	etag:%22129ed5b-b3b48-45e46bd63d240%22	http://conf.agile-france.org/images/xpdayfr08_20.jpg	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/images/xpdayfr08_20.jpg	(from http://conf.agile-france.org/)
22:31:11	319601/319601	---M--	200	added ('OK')	image/jpeg	etag:%22129ed38-4e071-45e46355f43c0%22	http://conf.agile-france.org/images/xpday2007_1.jpg	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/images/xpday2007_1.jpg	(from http://conf.agile-france.org/)
22:32:01	879620/879620	---M--	200	added ('OK')	image/jpeg	etag:%22129ed5c-d6c04-45e46be2a2f80%22	http://conf.agile-france.org/images/xpdayfr08_21.jpg	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/images/xpdayfr08_21.jpg	(from http://conf.agile-france.org/)
22:32:05	619070/619070	---M--	200	added ('OK')	image/jpeg	etag:%22129ed43-9723e-45e4639209180%22	http://conf.agile-france.org/images/xpday2007_2.jpg	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/images/xpday2007_2.jpg	(from http://conf.agile-france.org/)
22:32:07	340157/340157	---M--	200	added ('OK')	image/jpeg	etag:%22129ed46-530bd-45e463a14b580%22	http://conf.agile-france.org/images/xpday2007_4.jpg	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/images/xpday2007_4.jpg	(from http://conf.agile-france.org/)
22:32:31	697861/697861	---M--	200	added ('OK')	image/jpeg	etag:%22129ed45-aa605-45e4639e6eec0%22	http://conf.agile-france.org/images/xpday2007_3.jpg	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/images/xpday2007_3.jpg	(from http://conf.agile-france.org/)
22:33:48	662671/662671	---M--	200	added ('OK')	image/jpeg	etag:%22129ed47-a1c8f-45e463aad4c00%22	http://conf.agile-france.org/images/xpday2007_5.jpg	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/images/xpday2007_5.jpg	(from http://conf.agile-france.org/)
22:34:07	755964/755964	---M--	200	added ('OK')	image/jpeg	etag:%22129ed48-b88fc-45e463adb12c0%22	http://conf.agile-france.org/images/xpday2007_6.jpg	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/images/xpday2007_6.jpg	(from http://conf.agile-france.org/)
22:34:10	761589/761589	---M--	200	added ('OK')	image/jpeg	etag:%22129ed49-b9ef5-45e463b73a940%22	http://conf.agile-france.org/images/xpday2007_7.jpg	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/images/xpday2007_7.jpg	(from http://conf.agile-france.org/)
